"","franchID","yearID","W","WAR","source"
"281","PHI",1888,69,29.8,"Baseball Reference"
"282","PIT",1888,66,23.2,"Baseball Reference"
"283","SFG",1888,84,NA,"Baseball Reference"
"284","STL",1888,92,39,"Baseball Reference"
"285","WNL",1888,48,NA,"Baseball Reference"
"286","ATL",1889,83,NA,"Baseball Reference"
"287","BAL",1889,NA,12.8,"Baseball Reference"
"288","BLO",1889,70,NA,"Baseball Reference"
"289","CHC",1889,67,30.7,"Baseball Reference"
"290","CIN",1889,76,32.1,"Baseball Reference"
"291","CLS",1889,60,NA,"Baseball Reference"
"292","CLV",1889,61,25.5,"Baseball Reference"
"293","COL",1889,NA,11.2,"Baseball Reference"
"294","IND",1889,59,19.8,"Baseball Reference"
"295","KCC",1889,55,0.5,"Baseball Reference"
"296","LAD",1889,93,NA,"Baseball Reference"
"297","LOU",1889,27,-7.7,"Baseball Reference"
"298","PHA",1889,75,30,"Baseball Reference"
"299","PHI",1889,63,26.3,"Baseball Reference"
"300","PIT",1889,61,20.3,"Baseball Reference"
"301","SFG",1889,83,NA,"Baseball Reference"
"302","STL",1889,90,35.8,"Baseball Reference"
"303","WNL",1889,41,NA,"Baseball Reference"
"304","ATL",1890,76,NA,"Baseball Reference"
"305","BAL",1890,NA,4.6,"Baseball Reference"
"306","BFB",1890,36,NA,"Baseball Reference"
"307","BLO",1890,15,NA,"Baseball Reference"
"308","BOS",1890,NA,31.6,"Baseball Reference"
"309","BRG",1890,26,-6.8,"Baseball Reference"
"310","BRS",1890,81,NA,"Baseball Reference"
"311","BUF",1890,NA,-2.4,"Baseball Reference"
"312","BWW",1890,76,18.4,"Baseball Reference"
"313","CHC",1890,83,36.1,"Baseball Reference"
"314","CHP",1890,75,NA,"Baseball Reference"
"315","CIN",1890,77,40,"Baseball Reference"
"316","CLE",1890,NA,12.3,"Baseball Reference"
"317","CLI",1890,55,NA,"Baseball Reference"
"318","CLS",1890,79,NA,"Baseball Reference"
"319","CLV",1890,44,12.3,"Baseball Reference"
"320","COL",1890,NA,35.7,"Baseball Reference"
"321","LAD",1890,86,NA,"Baseball Reference"
"322","LOU",1890,88,40.6,"Baseball Reference"
"323","NYI",1890,74,20.9,"Baseball Reference"
"324","PBB",1890,60,16.2,"Baseball Reference"
"325","PHA",1890,54,0.8,"Baseball Reference"
"326","PHI",1890,78,38.4,"Baseball Reference"
"327","PHQ",1890,68,19.4,"Baseball Reference"
"328","PIT",1890,23,-17.2,"Baseball Reference"
"329","ROC",1890,63,17.1,"Baseball Reference"
"330","SFG",1890,63,NA,"Baseball Reference"
"331","STL",1890,78,28.1,"Baseball Reference"
"332","SYR",1890,NA,9,"Baseball Reference"
"333","SYS",1890,55,NA,"Baseball Reference"
"334","TLM",1890,68,NA,"Baseball Reference"
"335","TOL",1890,NA,26.5,"Baseball Reference"
"336","ATL",1891,87,NA,"Baseball Reference"
"337","BAL",1891,NA,22.1,"Baseball Reference"
"338","BLO",1891,71,NA,"Baseball Reference"
