"","franchID","yearID","WARP","W"
"356","BRO",1921,0,NA
"357","BRO",1922,0,NA
"358","BRO",1923,0,NA
"359","BRO",1924,0,NA
"360","BRO",1925,0,NA
"361","BRO",1926,0,NA
"362","BRO",1927,0,NA
"363","BRO",1928,0,NA
"364","BRO",1929,0,NA
"365","BRO",1930,0,NA
"366","BRO",1931,0,NA
"367","BRO",1932,0,NA
"368","BRO",1933,0,NA
"369","BRO",1934,0,NA
"370","BRO",1935,0,NA
"371","BRO",1936,0,NA
"372","BRO",1937,0,NA
"373","BRO",1938,0,NA
"374","BRO",1939,0,NA
"375","BRO",1940,0,NA
"376","BRO",1941,0,NA
"377","BRO",1942,0,NA
"378","BRO",1943,0,NA
"379","BRO",1944,0,NA
"380","BRO",1945,0,NA
"381","BRO",1946,0,NA
"382","BRO",1947,0,NA
"383","BRO",1948,0,NA
"384","BRO",1949,36.53,NA
"385","BRO",1950,44.28,NA
"386","BRO",1951,63.13,NA
"387","BRO",1952,65.01,NA
"388","BRO",1953,71.53,NA
"389","BRO",1954,54.42,NA
"390","BRO",1955,63.07,NA
"391","BRO",1956,49.56,NA
"392","BRO",1957,42.67,NA
"393","BRP",1890,0,NA
"394","BS1",1871,0,NA
"395","BS1",1872,0,NA
"396","BS1",1873,0,NA
"397","BS1",1874,0,NA
"398","BS1",1875,0,NA
"399","BS2",1891,0,NA
"400","BSN",1876,0,NA
"401","BSN",1877,0,NA
"402","BSN",1878,0,NA
"403","BSN",1879,0,NA
"404","BSN",1880,0,NA
"405","BSN",1881,0,NA
"406","BSN",1882,0,NA
"407","BSN",1883,0,NA
"408","BSN",1884,0,NA
"409","BSN",1885,0,NA
"410","BSN",1886,0,NA
"411","BSN",1887,0,NA
"412","BSN",1888,0,NA
"413","BSN",1889,0,NA
"414","BSN",1890,0,NA
"415","BSN",1891,0,NA
"416","BSN",1892,0,NA
"417","BSN",1893,0,NA
"418","BSN",1894,0,NA
"419","BSN",1895,0,NA
"420","BSN",1896,0,NA
"421","BSN",1897,0,NA
"422","BSN",1898,0,NA
"423","BSN",1899,0,NA
"424","BSN",1900,0,NA
"425","BSN",1901,0,NA
"426","BSN",1902,0,NA
"427","BSN",1903,0,NA
"428","BSN",1904,0,NA
"429","BSN",1905,0,NA
"430","BSN",1906,0,NA
"431","BSN",1907,0,NA
"432","BSN",1908,0,NA
"433","BSN",1909,0,NA
"434","BSN",1910,0,NA
"435","BSN",1911,0,NA
"436","BSN",1912,0,NA
"437","BSN",1913,0,NA
"438","BSN",1914,0,NA
"439","BSN",1915,0,NA
"440","BSN",1916,0,NA
"441","BSN",1917,0,NA
"442","BSN",1918,0,NA
"443","BSN",1919,0,NA
"444","BSN",1920,0,NA
"445","BSN",1921,0,NA
"446","BSN",1922,0,NA
"447","BSN",1923,0,NA
"448","BSN",1924,0,NA
"449","BSN",1925,0,NA
"450","BSN",1926,0,NA
"451","BSN",1927,0,NA
"452","BSN",1928,0,NA
"453","BSN",1929,0,NA
"454","BSN",1930,0,NA
"455","BSN",1931,0,NA
"456","BSN",1932,0,NA
"457","BSN",1933,0,NA
"458","BSN",1934,0,NA
"459","BSN",1935,0,NA
"460","BSN",1936,0,NA
"461","BSN",1937,0,NA
"462","BSN",1938,0,NA
"463","BSN",1939,0,NA
"464","BSN",1940,0,NA
"465","BSN",1941,0,NA
"466","BSN",1942,0,NA
"467","BSN",1943,0,NA
"468","BSN",1944,0,NA
"469","BSN",1945,0,NA
"470","BSN",1946,0,NA
"471","BSN",1947,0,NA
"472","BSN",1948,0,NA
"473","BSN",1949,29.04,NA
"474","BSN",1950,38.82,NA
"475","BSN",1951,29.09,NA
"476","BSN",1952,5.51,NA
"477","BSP",1890,0,NA
"478","BSU",1884,0,NA
"479","BUF",1914,0,NA
